interactant_id,polypeptide_id
BE0000741,P53004
BE0000762,P16219
BE0000330,P00374
BE0000162,Q02218
BE0000755,P49448
BE0000031,Q9UBM7
BE0000220,P16083
BE0000655,P03891
BE0000073,Q9UDR5
BE0000307,O75251
BE0000617,P11586
BE0000268,P13995
BE0000244,P30038
BE0000160,P00387
BE0000541,Q86Y39
BE0000551,P03905
BE0000540,P09417
BE0000503,P03886
BE0000008,Q13423
BE0000473,Q16718
BE0000305,Q16795
BE0000272,P03901
BE0000081,O95299
BE0000401,O95182
BE0000224,O15239
BE0000348,P03923
BE0000580,P03915
BE0000169,O00483
BE0000213,P56556
BE0000545,O14561
BE0000550,O43678
BE0000367,P51970
BE0000684,O95167
BE0000676,O95169
BE0000173,O95298
BE0000338,O75438
BE0000493,P28331
BE0000245,O96000
BE0000295,O95168
BE0000284,O43676
BE0000427,O95178
BE0000512,P17568
BE0000596,Q9Y6M9
BE0000729,O75306
BE0000243,O43674
BE0000313,O43677
BE0000376,O95139
BE0000027,P56181
BE0000737,P09622
BE0000191,O75489
BE0000648,P00390
BE0000754,Q9UI09
BE0000089,O43920
BE0000500,O43181
BE0000485,P49821
BE0000137,P19404
BE0000525,Q9P0J0
BE0000569,Q16878
BE0000093,O75380
BE0000319,Q9NRX3
BE0000037,O00217
BE0000421,Q02928
BE0000065,P10515
BE0000010,P48728
BE0000096,Q15800
BE0000735,P09601
BE0000587,P30519
BE0000344,P05093
BE0000252,P14679
BE0004352,P14550
BE0000227,P07327
BE0000400,P00325
BE0000360,P08319
BE0000009,P11766
BE0000522,P40394
BE0002204,P47989
BE0003539,Q06278
BE0003545,P28332
BE0004711,P41440
BE0001048,Q96NT5
BE0000652,P41439
BE0000271,P14207
BE0003405,P15328
BE0000265,Q92820
BE0002176,P42898
BE0000330,P00374
BE0003658,Q96J66
BE0001061,O15438
BE0001066,Q4U2R8
BE0001188,O15439
BE0001067,Q9UNQ0
BE0001048,Q96NT5
BE0000730,Q9H2D1
BE0000262,P35354
BE0000017,P23219
BE0000215,P37231
BE0001007,Q03181
BE0000688,O14842
BE0000986,P32418
BE0001821,O15540
BE0000888,O60427
BE0000996,O60488
BE0001023,Q8NER1
BE0000071,Q07869
BE0000248,P09917
BE0000530,P02768
BE0000253,P80404
BE0000316,P21549
BE0000667,P24298
BE0000151,Q9Y697
BE0000536,Q7Z2H8
BE0000789,Q9UHI5
BE0000102,Q9BYV1
BE0000294,P49588
BE0000480,P43007
BE0000392,Q16719
BE0002318,Q5JTZ9
BE0002164,Q8IUZ5
BE0002166,Q8TD30
BE0003654,Q8TF71
BE0000544,P05166
BE0000517,P54687
BE0000223,P26640
BE0000223,P26640
BE0000544,P05166
BE0000517,P54687
BE0003654,Q8TF71
BE0000707,P48443
BE0005056,P05090
BE0009878,P41222
BE0000726,Q96NR8
BE0000570,Q92781
BE0000593,Q8NBN7
BE0000513,O94788
BE0000554,P00352
BE0000900,O95237
BE0002319,O75911
BE0000583,P47895
BE0002320,Q6NUM9
BE0002321,Q8TC12
BE0000032,Q9BTZ2
BE0002322,Q9HBH5
BE0002323,Q9NYR8
BE0003480,O43174
BE0000530,P02768
BE0000786,P12271
BE0000255,P10745
BE0000301,P09455
BE0000682,P82980
BE0000532,Q96R05
BE0000314,P02753
BE0000505,P50120
BE0009879,Q9BX79
BE0000076,Q9UDX3
BE0000339,Q9UDX4
BE0000256,O76054
BE0000956,O75469
BE0000872,P05771
BE0000248,P09917
BE0001132,P17252
BE0002324,P23743
BE0002325,P62714
BE0002326,P67775
BE0000814,P09211
